iter	Passed	Remaining
848	1084	192
849	1085	191
850	1087	190
851	1088	189
852	1089	187
853	1089	186
854	1091	185
855	1092	183
856	1092	182
857	1094	181
858	1095	179
859	1096	178
860	1097	177
861	1098	175
862	1099	174
863	1100	173
864	1101	171
865	1103	170
866	1104	169
867	1106	168
868	1107	166
869	1108	165
870	1110	164
871	1112	163
872	1113	161
873	1114	160
874	1115	159
875	1116	158
876	1117	156
877	1118	155
878	1119	154
879	1120	152
880	1121	151
881	1122	150
882	1123	148
883	1125	147
884	1126	146
885	1127	145
886	1128	143
887	1129	142
888	1130	141
889	1131	139
890	1132	138
891	1133	137
892	1135	136
893	1136	134
894	1137	133
895	1138	132
896	1140	130
897	1141	129
898	1144	128
899	1145	127
900	1146	125
901	1147	124
902	1148	123
903	1149	122
904	1150	120
905	1151	119
906	1152	118
907	1153	116
908	1154	115
909	1155	114
910	1156	113
911	1157	111
912	1158	110
913	1159	109
914	1161	107
915	1162	106
916	1163	105
917	1164	103
918	1165	102
919	1166	101
920	1167	100
921	1168	98
922	1170	97
923	1172	96
924	1174	95
925	1175	93
926	1176	92
927	1178	91
928	1179	90
929	1180	88
930	1181	87
931	1183	86
932	1185	85
933	1187	83
934	1188	82
935	1189	81
936	1190	80
937	1191	78
938	1193	77
939	1194	76
940	1195	74
941	1196	73
942	1198	72
943	1199	71
944	1204	70
945	1205	68
946	1207	67
947	1208	66
948	1210	65
949	1211	63
950	1213	62
951	1214	61
952	1220	60
953	1222	58
954	1223	57
955	1225	56
956	1226	55
957	1227	53
958	1229	52
959	1230	51
960	1234	50
961	1236	48
962	1237	47
963	1238	46
964	1239	44
965	1240	43
966	1242	42
967	1243	41
968	1244	39
969	1245	38
970	1248	37
971	1249	35
972	1250	34
973	1251	33
974	1252	32
975	1254	30
976	1255	29
977	1256	28
978	1257	26
979	1258	25
980	1260	24
981	1262	23
982	1264	21
983	1265	20
984	1266	19
985	1267	18
986	1269	16
987	1270	15
988	1271	14
989	1272	12
990	1275	11
991	1276	10
992	1278	9
993	1279	7
994	1281	6
995	1282	5
996	1283	3
997	1284	2
998	1285	1
999	1286	0
